centroid_px,centroid_py,RA_obs,DEC_obs,RA_catalog,DEC_catalog,magV,r_px,r_solar,total_offset_arcsec,radial_deflection_arcsec,einstein_pred_arcsec,residual_arcsec
701.4976110197541,1694.2011061725743,76.89920896701211,6.618345271202887,76.89859907039929,6.613099303331797,4.14741325378418,1392.20772185871,116.21129413214419,19.011005035694787,-5.268699919810407,0.01506738233212456,-5.2837673021425315
3518.08929342738,1739.0850776695688,217.53249816517408,-24.607694581436945,217.53034551783807,-24.60578873917092,4.596416473388672,1502.1953800648669,125.39225750278021,9.834464036591655,3.1191690730423858,0.013964179566359402,3.1052048934760266
3756.5459347744313,2783.1930233713633,222.44280394466563,8.173140833074159,222.44141845925319,8.180205552352207,4.70740270614624,1860.0102131031865,155.26001656932576,25.907746808322226,0.8356464788920815,0.011277855295205086,0.8243686235968765
920.5059382619668,2775.156806812864,72.15734933339479,52.741604261235835,72.14741962602317,52.732705460931214,4.668522834777832,1341.6407421321137,111.99033337886226,38.66184844689252,9.634831826874963,0.01563527803847483,9.619196548836488
3077.782059039368,1303.717102075863,207.3883940302407,-46.0674552035483,207.38577261505662,-46.07014531656486,4.634108543395996,1270.5936097988656,106.0598396291211,11.690003845968262,11.263693873265748,0.016509547875265915,11.247184325390482
2977.77569303875,2725.020929538206,232.3561878247181,18.86114796226059,232.35587020031326,18.860186565993747,4.580437183380127,1150.1478941416467,96.00591429209571,3.62623002065368,7.391613689082835,0.018238459712727948,7.373375229370107
1112.8965657394644,2670.1493786090964,68.02504297947755,53.59775411540561,68.01468545762155,53.59224635639838,3.705249547958374,1123.159953911077,93.75315889438234,29.712970056650605,11.446006012329239,0.018676704024155492,11.427329308305083
2804.0742301049017,1313.32198492917,203.12469554069264,-53.89137751807347,203.12406372714352,-53.88926500740733,4.688321590423584,1054.2295894429897,87.99935740767448,7.722268274786839,4.739717481993557,0.01989787257068418,4.719819609422872
1262.0410710188469,2730.2140637207494,65.74756901483202,60.84003002536903,65.73774602448951,60.829589883120256,4.887579917907715,1040.743708500599,86.87365493366802,41.34709760776958,8.085257448385239,0.02015570774980019,8.065101740635438
2376.908330504886,3883.933420556366,219.70447338342427,60.376180664809304,219.70113589967443,60.38184358721434,4.569888114929199,1865.1627850113537,155.69011549792359,21.23384359098857,-1.4244343663245727,0.01124669985888316,-1.4356810661834558
3172.4196685604475,499.19342057390816,180.19803844034308,-52.7550428256753,180.17808140673915,-52.762607242164826,4.7332305908203125,1913.9282670777236,159.76070043358584,51.3027916223456,11.414829871541384,0.010960142233026254,11.403869729308358
3151.0641587308824,2063.2815432501607,226.10892277398935,-14.501985379098999,226.1109129070358,-14.48130623396724,6.752105236053467,1103.1700067717468,92.08454465656352,74.76738592367477,-1.3079013810514073,0.019015134478109118,-1.3269165155295164
1045.9561370393203,2487.130033063059,68.35676469408814,43.74298314425084,68.3536387526432,43.73289308876936,4.647561073303223,1094.0416304853873,91.3225747257067,37.22305007588542,-1.2855228645817556,0.019173791422977753,-1.3046966560047333
2227.9395993467397,3966.419725069464,215.45190733691848,64.46065966465362,215.45467557701588,64.46217696969433,4.486921787261963,1926.8400299320813,160.83847973855117,6.949505417832988,4.262244854740186,0.010886698275476829,4.251358156464709
2984.064416875801,3709.9898400977386,223.51616141002557,42.67125080628948,223.52640796629103,42.6616444907432,4.095844745635986,1907.4660733887613,159.22128387976565,43.95077468212047,28.075921611248884,0.010997273463278,28.064924337785605
2515.8769573909767,3735.111783825026,223.97202665280793,55.69897368241042,223.96729542463063,55.717541073175575,4.802192211151123,1750.7869711585986,146.1428610641525,67.52792639320943,0.9578112989596848,0.011981426853490719,0.9458298721061941
